version,ticker,asset_type,name,region,category
2026.08.01,AAPL,Aktie,Apple,USA,Technologie
2026.08.01,MSFT,Aktie,Microsoft,USA,Technologie
2026.08.01,NVDA,Aktie,NVIDIA,USA,Halbleiter
2026.08.01,AMZN,Aktie,Amazon,USA,Konsum
2026.08.01,GOOGL,Aktie,Alphabet,USA,Technologie
2026.08.01,META,Aktie,Meta Platforms,USA,Technologie
2026.08.01,AVGO,Aktie,Broadcom,USA,Halbleiter
2026.08.01,TSLA,Aktie,Tesla,USA,Automobil
2026.08.01,BRK-B,Aktie,Berkshire Hathaway,USA,Konglomerat
2026.08.01,JPM,Aktie,JPMorgan Chase,USA,Finanzen
2026.08.01,V,Aktie,Visa,USA,Finanzen
2026.08.01,MA,Aktie,Mastercard,USA,Finanzen
2026.08.01,XOM,Aktie,Exxon Mobil,USA,Energie
2026.08.01,UNH,Aktie,UnitedHealth,USA,Gesundheit
2026.08.01,LLY,Aktie,Eli Lilly,USA,Gesundheit
2026.08.01,COST,Aktie,Costco,USA,Konsum
2026.08.01,WMT,Aktie,Walmart,USA,Konsum
2026.08.01,HD,Aktie,Home Depot,USA,Konsum
2026.08.01,PG,Aktie,Procter and Gamble,USA,Konsum
2026.08.01,JNJ,Aktie,Johnson and Johnson,USA,Gesundheit
2026.08.01,ABBV,Aktie,AbbVie,USA,Gesundheit
2026.08.01,MRK,Aktie,Merck and Co,USA,Gesundheit
2026.08.01,PEP,Aktie,PepsiCo,USA,Konsum
2026.08.01,KO,Aktie,Coca Cola,USA,Konsum
2026.08.01,CRM,Aktie,Salesforce,USA,Software
2026.08.01,ORCL,Aktie,Oracle,USA,Software
2026.08.01,NFLX,Aktie,Netflix,USA,Medien
2026.08.01,AMD,Aktie,Advanced Micro Devices,USA,Halbleiter
2026.08.01,QCOM,Aktie,Qualcomm,USA,Halbleiter
2026.08.01,CSCO,Aktie,Cisco Systems,USA,Netzwerk
2026.08.01,ADBE,Aktie,Adobe,USA,Software
2026.08.01,NOW,Aktie,ServiceNow,USA,Software
2026.08.01,PLTR,Aktie,Palantir Technologies,USA,Software
