version,ticker,name,asset_type,region,category,active,liquidity_class,source_group
2026.08.09-v1,000270.KS,Kia,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,000660.KS,SK Hynix,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,005380.KS,Hyundai Motor,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,005930.KS,Samsung Electronics,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,035420.KS,Naver,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,035720.KS,Kakao,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,0388.HK,Hong Kong Exchanges,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,0700.HK,Tencent Holdings,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,0883.HK,CNOOC,Aktie,Asien,Energie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,0939.HK,China Construction Bank,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,0941.HK,China Mobile,Aktie,Asien,Telekommunikation,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,1024.HK,Kuaishou Technology,Aktie,Asien,Medien,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,1211.HK,BYD,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,1299.HK,AIA Group,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,1398.HK,ICBC,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,1810.HK,Xiaomi Corporation,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,207940.KS,Samsung Biologics,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2308.TW,Delta Electronics,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2317.TW,Hon Hai Precision,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2318.HK,Ping An Insurance,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2330.TW,Taiwan Semiconductor,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2382.TW,Quanta Computer,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.09-v1,2454.TW,MediaTek,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
