version,ticker,name,asset_type,region,category,active,liquidity_class,source_group
2026.08.11-v1,000270.KS,Kia,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,000660.KS,SK Hynix,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,005380.KS,Hyundai Motor,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,005930.KS,Samsung Electronics,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,035420.KS,Naver,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,035720.KS,Kakao,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,0388.HK,Hong Kong Exchanges,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,0700.HK,Tencent Holdings,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,0883.HK,CNOOC,Aktie,Asien,Energie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,0939.HK,China Construction Bank,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,0941.HK,China Mobile,Aktie,Asien,Telekommunikation,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,1024.HK,Kuaishou Technology,Aktie,Asien,Medien,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,1211.HK,BYD,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,1299.HK,AIA Group,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,1398.HK,ICBC,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,1810.HK,Xiaomi Corporation,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,207940.KS,Samsung Biologics,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2308.TW,Delta Electronics,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2317.TW,Hon Hai Precision,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2318.HK,Ping An Insurance,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2330.TW,Taiwan Semiconductor,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2382.TW,Quanta Computer,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,2454.TW,MediaTek,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,3690.HK,Meituan,Aktie,Asien,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,3711.TW,ASE Technology,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,373220.KS,LG Energy Solution,Aktie,Asien,Energie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,4063.T,Shin Etsu Chemical,Aktie,Asien,Chemie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,4502.T,Takeda Pharmaceutical,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,4503.T,Astellas Pharma,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,4519.T,Chugai Pharmaceutical,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6098.T,Recruit Holdings,Aktie,Asien,IT Services,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6367.T,Daikin Industries,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6501.T,Hitachi,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6758.T,Sony Group,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6861.T,Keyence,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,6954.T,Fanuc,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,7203.T,Toyota Motor,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,7267.T,Honda Motor,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,7974.T,Nintendo,Aktie,Asien,Medien,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,8001.T,Itochu,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,8035.T,Tokyo Electron,Aktie,Asien,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,8058.T,Mitsubishi Corporation,Aktie,Asien,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,8306.T,Mitsubishi UFJ Financial,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9432.T,Nippon Telegraph and Telephone,Aktie,Asien,Telekommunikation,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9618.HK,JD.com,Aktie,Asien,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9866.HK,NIO,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9888.HK,Baidu,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9983.T,Fast Retailing,Aktie,Asien,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9984.T,SoftBank Group,Aktie,Asien,Technologie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9988.HK,Alibaba Group,Aktie,Asien,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,9999.HK,NetEase,Aktie,Asien,Medien,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BHARTIARTL.NS,Bharti Airtel,Aktie,Asien,Telekommunikation,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,HDFCBANK.NS,HDFC Bank,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ICICIBANK.NS,ICICI Bank,Aktie,Asien,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,INFY.NS,Infosys,Aktie,Asien,IT Services,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,LT.NS,Larsen and Toubro,Aktie,Asien,Infrastruktur,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,MARUTI.NS,Maruti Suzuki,Aktie,Asien,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,RELIANCE.NS,Reliance Industries,Aktie,Asien,Konglomerat,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,SUNPHARMA.NS,Sun Pharmaceutical,Aktie,Asien,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,TCS.NS,Tata Consultancy Services,Aktie,Asien,IT Services,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ABBN.SW,ABB,Aktie,Europa,Industrie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ADS.DE,adidas,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ADYEN.AS,Adyen,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,AIR.PA,Airbus,Aktie,Europa,Luftfahrt,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ALV.DE,Allianz,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ASML.AS,ASML,Aktie,Europa,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,AZN.L,AstraZeneca,Aktie,Europa,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BARC.L,Barclays,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BAS.DE,BASF,Aktie,Europa,Chemie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BAYN.DE,Bayer,Aktie,Europa,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BEI.DE,Beiersdorf,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BMW.DE,BMW,Aktie,Europa,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BNP.PA,BNP Paribas,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,BP.L,BP,Aktie,Europa,Energie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,CAP.PA,Capgemini,Aktie,Europa,IT Services,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,CS.PA,AXA,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,DG.PA,Vinci,Aktie,Europa,Infrastruktur,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,DGE.L,Diageo,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,DSV.CO,DSV,Aktie,Europa,Logistik,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,DTE.DE,Deutsche Telekom,Aktie,Europa,Telekommunikation,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,EL.PA,EssilorLuxottica,Aktie,Europa,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ENEL.MI,Enel,Aktie,Europa,Versorger,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ENR.DE,Siemens Energy,Aktie,Europa,Energie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,GIVN.SW,Givaudan,Aktie,Europa,Chemie,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,GSK.L,GSK,Aktie,Europa,Gesundheit,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,HEIA.AS,Heineken,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,HEN3.DE,Henkel,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,HSBA.L,HSBC,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,IBE.MC,Iberdrola,Aktie,Europa,Versorger,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,IFX.DE,Infineon,Aktie,Europa,Halbleiter,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,INGA.AS,ING Groep,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ISP.MI,Intesa Sanpaolo,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,ITX.MC,Inditex,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,KER.PA,Kering,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,LLOY.L,Lloyds Banking Group,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,LSEG.L,London Stock Exchange Group,Aktie,Europa,Finanzen,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,MAERSK-B.CO,AP Moller Maersk,Aktie,Europa,Logistik,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,MBG.DE,Mercedes Benz Group,Aktie,Europa,Automobil,true,B,Kuratiertes Prognoseuniversum
2026.08.11-v1,MC.PA,LVMH,Aktie,Europa,Konsum,true,B,Kuratiertes Prognoseuniversum
